timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2019/06/18 17:03:56.434, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 59 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:57.435, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 13 %, 4 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:58.435, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 39 %, 15 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:03:59.436, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 58 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:00.437, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 6 %, 2 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:01.437, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:02.438, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 58 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:03.439, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 43 %, 16 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:04.440, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 12 %, 3 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:05.440, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 57 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:06.441, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 58, 48 %, 19 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:07.442, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 47 %, 18 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:08.443, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 45 %, 16 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:09.443, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 52 %, 20 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:10.444, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 57 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:11.445, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:12.445, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 37 %, 15 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:13.446, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 46 %, 17 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:14.447, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:15.447, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:16.448, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 1 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:17.448, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 39 %, 15 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:18.449, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 57 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:19.450, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 46 %, 18 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:20.451, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 43 %, 17 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:21.451, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:22.452, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 9 %, 2 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:23.452, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 1 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:24.453, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 56 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:25.454, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:26.455, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 36 %, 11 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:27.455, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 58 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:28.456, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 42 %, 17 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:29.456, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 33 %, 14 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:30.457, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:31.458, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 2 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:32.459, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 38 %, 14 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:33.459, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 35 %, 14 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:34.460, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 49 %, 18 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:35.461, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 3 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:36.461, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 12 %, 4 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:37.462, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 58 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:38.464, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 4 %, 1 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:39.464, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 27 %, 10 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:40.465, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 16 %, 6 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:41.466, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 57 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:42.466, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 35 %, 13 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:43.467, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:44.468, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 56 %, 22 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:45.469, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 39 %, 15 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:46.469, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 59, 0 %, 0 %, 11441 MiB, 414 MiB, 11027 MiB
2019/06/18 17:04:47.470, Tesla K80, 00000000:00:1E.0, 418.67, P0, 3, 3, 60, 45 %, 16 %, 11441 MiB, 414 MiB, 11027 MiB
